name,artist,track_popularity,artist_popularity,artist_total_followers,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit,recent,days_since_release
Hayloft (Burning Barn Acoustic),Mother Mother,44,2.4073139008398066,4.069380184367817,2022-04-01,-0.34710757080715055,1.3717868231649295,A,1.1489635829243114,minor,-0.3489224833782068,-0.9490123624122626,-0.5478715328663252,-0.5139208400682704,0.4618499471716272,-1.066164739280704,-0.2968553146330238,4/4,True,False,151
Lupa,King Stingray,47,0.8333997227633133,-0.13184252110096129,2022-08-05,-0.5552995095895789,1.1262454818327883,A,1.1667550347967397,major,-0.3489224833782068,-0.9542418678831825,-0.5476010062307991,-0.019711017671891696,0.24439976035490807,0.7669803338379045,-0.2782969406498865,4/4,False,True,25
Hippo In the Water,Mom Jeans.,45,1.3393007085736148,0.12076212235799504,2022-02-25,-0.05433765689436024,1.7557241932479133,D,1.0463205913526115,major,-0.20268721624146677,-0.9659024199629843,0.6293165606561214,-0.5702232248982377,1.5746832561748356,-0.16055219620210454,-1.4085471805497354,4/4,True,False,186
The Less I Knew,James Vincent McMorrow,39,1.5079343705103818,0.6542280602451749,2022-04-21,0.0627703086707559,-1.7711423458864748,A,-1.9924593884580928,major,-0.4148717214986974,2.028475059075374,-0.4942250737251576,-0.5577115838249116,-0.17344569666545398,-0.3669654067553746,0.7144126129345566,4/4,False,False,131
The Reason,James Vickery,45,1.1706670466368476,-0.02487952808201231,2022-08-26,0.24493825510538028,-1.5523873326996585,E,-0.4062830253700878,minor,1.0532156662270065,1.1973572253041396,-0.5486728396095292,-0.5139208400682704,-1.0730925480052127,0.28594690927754496,-0.17494339448363416,3/4,True,True,4
Fruity,chloe moriondo,57,1.732779253092738,0.6970743983948021,2022-08-16,0.7719241001484028,0.26908298118240553,G,0.7893025404570745,major,-0.48942303415664334,-0.9462730976417805,-0.5485999001495709,0.16170777789133592,0.922332695724679,0.2162923595149531,-0.311578794263277,4/4,False,True,14
Mi Habitación,Bratty,48,1.6203568118015599,0.1512162012214975,2022-08-12,-0.6659014770677442,0.8003451560646742,A,0.643686349747356,major,-0.4177390796778492,-0.9566698525661098,-0.5381257252118019,0.005312264474760414,-0.43779690416813194,1.662701310473227,-0.7878600994673693,4/4,True,True,18
Mesra-mesraannya kecil-kecilan dulu,Sal Priadi,43,1.1706670466368476,0.14040154651802414,2022-03-18,-1.212405316371619,-1.105948530277584,D,-1.082084481878161,major,-0.35035616246778273,1.4775093041034324,0.2697558425517804,0.24303344486795528,-0.6126097994521608,1.8399568025212265,-0.10302340858692327,4/4,True,False,165
Sheryl Crow,courtship.,41,0.7771885021177243,-0.07996948010819892,2022-08-11,1.0712000121481433,0.5280174865872085,F,1.1016109494792339,major,-0.47078520599215684,-0.053988726666033784,-0.5486728396095292,0.3994289582845308,0.87543167503872,0.008431602652910672,-0.4441278312078795,4/4,True,True,19
Momentum,Blake Ruby,39,0.27128751630742287,-0.15379716763073034,2022-02-25,0.049758312496854105,-1.2398801710042062,C,-2.0677309156106727,major,-0.34318776701990333,0.7802419079807488,-0.5212092495219405,-0.4951533784582814,0.12075161491010698,-1.0243237578795235,0.058519944350304255,4/4,True,False,186
Over the Rainbow,Henry And The Waiter,40,1.2268782672824365,-0.13804636347753885,2022-02-04,1.3314399356261792,0.8271314842099986,B,0.8161265755878123,minor,-0.40483596787166626,-0.7833179718068586,-0.548664484103318,-0.5389441222149226,1.8731442969036658,0.11206902528334733,-1.0249068641720356,4/4,True,False,207
Bad Love,Dehd,54,1.0582446053456696,-0.082624062752607,2022-05-27,0.4921661824095143,0.7780232159435704,E,0.38174143525637744,major,-0.16397788082291792,-0.6454208930200959,-0.4825821552341598,-0.23240891591843446,0.4277401139454752,1.082131844490619,-0.843547794840889,4/4,False,False,95
LAst dAy oN EaRTh,Tai Verdes,72,2.2386802389030396,0.6917624284756168,2022-01-13,-0.34710757080715055,-0.1728914332154481,F,0.8949563931148777,major,1.8990863290767772,0.3195473783996896,-0.5485300426386249,0.14294031628134685,-0.3866321543289039,-1.36797814465973,-0.5677874573082556,4/4,False,False,229
Summerland,half•alive,55,1.6203568118015599,0.7002015612564133,2022-02-11,1.0516820178872908,0.925348020742855,D,1.05507945996673,major,1.1248996207058004,-0.11935754505253526,-0.5486728396095292,1.6068023218604939,1.0630357577825558,-0.6160123026408199,0.14760265415418478,4/4,True,False,200
"That's Enough, Let's Get You Home.",Will Wood,48,1.676568032447149,0.07203307200905884,2022-07-29,-0.9001174081979764,0.12175817638312084,G,0.8183162927413419,major,0.09265067621116493,1.757661382902725,-0.5486647922982192,-0.6865814868801698,-0.6211372577586988,-1.0663370662222245,0.1713412788697425,4/4,False,False,32
Akibat Pergaulan Blues,Jason Ranti,39,0.8333997227633133,-0.12936603248499473,2022-06-14,-0.06734965306826203,-1.1997006787862194,E,-1.9486650453875007,major,-0.11236543359818618,1.9662190415644205,2.3620567831398986,0.5308011895544544,-0.8641698194950317,-1.3681849369895547,-0.03378156202517732,4/4,True,False,77
"bbycakes (with Lil Uzi Vert, PinkPantheress & Shygirl)",Mura Masa,61,1.9014129150295052,0.7069943760105141,2022-02-22,1.1167419987567997,1.010171393203049,B,1.1402047143101932,minor,-0.3173815434075374,-0.4462016369850433,-0.548306430115842,-0.9943678572839905,1.327386965285234,0.9049108178309235,-0.5653104927590158,4/4,False,False,189
LUNCH,my little airport,44,1.2268782672824365,0.024305274701912065,2022-04-15,-0.00879567028570396,-0.9720168895509615,G,-0.9356471472358687,major,-0.5180966159481609,-0.13492154943027376,2.2387788226469816,-0.5389441222149226,-0.5315989455400497,-1.8532852773697988,-0.5366808060655174,4/4,False,False,137
Doob Gaye,Faraz Haider,41,-0.3470359107940566,-0.15928162231761886,2022-08-18,0.9931280351047326,-0.24432164160298006,C,-0.45254080023840076,major,-0.407703326050818,1.5459909233654818,-0.5454881589634623,-0.4325951730916512,-0.13080840513276396,-0.750013732367171,0.26638379170072807,4/4,True,True,12
Storm (feat. Terrace Martin),Arin Ray,44,1.5079343705103818,0.1578589682508483,2022-06-03,-0.034819662633507546,-0.2398572535787593,A,0.4028174628590998,major,-0.06505402364218209,1.471283702352337,-0.5482447911355955,1.262732192344028,-0.01995144714776988,-0.49279853945365354,-0.5632107309330104,4/4,True,False,88
Monday Blues,Pastel,41,1.0020333847000804,-0.1352683770968878,2022-05-27,1.8258957902344466,-0.007709076319280877,G,-0.45692023454545994,major,0.6087751484584827,1.0510555841533982,2.4031494366375377,1.1876623459040716,-0.3226762170298689,-0.5425320947764735,-1.5513812784145318,4/4,False,False,95
So Unimportant,Ethan Gruska,53,0.8333997227633133,-0.12732426157624768,2022-03-16,-1.030237369936994,-0.44521910269291376,D,-0.7194125783248209,major,-0.37042766972184504,0.7958059123584869,-0.4051909911469398,-0.6922117253631666,-0.44206063332140094,-1.412472960960327,0.5709121235920459,3/4,True,False,167
Bird Without a Tail / Base of My Skull,Wilco,42,1.676568032447149,0.767522506322498,2022-05-27,-1.4986692321974582,0.7199861716287007,F_sharp,-0.06769801050557313,major,-0.4650504896338533,0.3102089757730465,2.3209641296422596,-0.7503908563541327,-0.19902807158506777,1.2497025624251654,1.0854166380839008,4/4,False,False,95
Adhura,DAKU,38,-0.45945835208523467,-0.1598467553370042,2022-01-25,1.0646940140611925,-0.458612266765576,E,-0.014323654888289015,minor,0.7951534301033474,1.1444396104198291,-0.548644451434738,0.9311737039008875,0.39789400987259216,-1.0762286326655022,-0.3349905099520315,4/4,False,False,217
