name,artist,track_popularity,artist_popularity,artist_total_followers,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit
Summer Love,Midnight Fusic,36,0.6734194284103407,0.5340156486686688,2022-08-25,0.7201013802769262,0.1091104232289998,F_sharp,0.5777553043576378,major,-0.1064460913961509,-0.41327167627221506,-0.5539198998946047,0.05459283257207205,1.0176047544138531,-0.17111391986540317,-0.2346185131915913,4/4,TRUE
Don't Call It The Truth,Little Barrie,11,1.1513939976111383,0.7578406691990776,2022-04-12,-1.0770645566868815,0.26571882453430273,F,-0.5535699811076116,minor,-0.2876173628684853,-0.6159224869546666,-0.5538654085664634,0.7753752687172292,0.5189401580741453,-0.3583140728383371,0.04800523881913563,4/4,FALSE
Limbo,Deb Fan,8,-0.9653505231352513,-0.5899533601034691,2022-03-18,1.0639634548584485,0.1091104232289998,C,1.0212436915748315,minor,0.0287134285911463,-0.17009070345327326,-0.553891904974772,-0.5825273565205225,0.3910774410639641,0.962748774092283,-0.5231192720423173,4/4,FALSE
Problems,BNZA,25,-0.07768346604805562,-0.5872115264505854,2022-05-09,1.1872347646140888,-0.9200304996344184,E,0.20416002131726232,major,-0.4357176879609493,-0.8647153283771223,-0.3761419418333415,-0.5181717818647047,-0.7426386497596456,-0.0674195488910515,-0.03948430531392819,4/4,FALSE
Fake Authenticity,Natalie Farrell,2,-1.7164534175936477,-0.6754985700734415,2022-06-03,1.070451418529798,-0.17278469912054498,G_sharp,0.05383437661950185,major,-0.24304347861735545,-0.7786666764565737,-0.5539071284895716,-0.4280739773465601,0.2930493580228248,-0.06532158649322904,-0.5953260868499989,4/4,FALSE
Spade,Benny Benji,1,-0.623940116563253,-0.6147669546620669,2022-01-29,0.9731319634595555,-1.179552993226063,C,-2.851721811302526,major,-0.32787764541789294,1.9624193658820623,2.347743323634059,-0.5246073393302865,0.8258106788985812,-0.06631897845284955,-1.6385827048983044,4/4,FALSE
anew,Amistat,48,1.1513939976111383,0.6259584704953699,2022-07-22,0.5903421068499363,-0.5933901197690725,C_sharp,-0.6897505928172063,major,-0.3293155126518004,0.4783918907305715,-0.5538085332427157,0.614486332077685,-1.3094966951714504,-0.6514785233144145,-0.0258466355954687,4/4,TRUE
Twenty,Karma To Burn,15,0.12716277789514338,1.3744333605050807,2022-03-18,-1.4403905222824527,1.23669091262718,D,0.32675030721469805,major,0.7174518336327986,-0.9584584756940445,2.1127494710243435,-0.6629718248402944,-0.8918118196048576,0.7832182213605697,-0.08585991698084433,1/4,FALSE
La Gata Bajo la Lluvia,Ramona,34,1.6976506481263356,2.5414491576274933,2022-01-21,0.18160039555491836,0.8205600177302326,G,0.8334753124966324,major,-0.2516706820207999,-0.8045436261283329,-0.5516210469886401,-0.8978696723340287,0.7831897732285207,1.3086030342972852,0.5737210814467493,4/4,TRUE
It's Random,Dora Jar,42,1.3562402415543373,0.4031387889710186,2022-03-04,1.1547949462573412,0.4089036485848654,F,1.2312003576932904,major,-0.48316730667989394,-0.83852660822739,-0.493979438939083,-0.09342498913630859,0.06715855797150413,-0.6860433136391987,-0.9204451190884118,4/4,TRUE
Wir Lieben Uns - Single Version,Georg Auf Lieder,33,0.12716277789514338,-0.4543696859683685,2022-04-22,1.2066986556281372,0.6863242451828301,E,0.99378568636251,major,0.11929906432731352,-0.2854457803032841,-0.5058994169700106,0.7946819411139745,0.26321472405378243,0.03156300489474752,-0.7356082308876701,4/4,TRUE
Futura Memoria,Mr. Bleat,14,0.19544485920954305,-0.3874232476104574,2022-06-10,-0.7591543367907568,-0.1951573278784454,D_sharp,-0.19855738846345403,minor,-0.35951072456385613,-0.7995552984807649,2.5180287240758825,-0.3379761728284155,-1.4160489593466017,-0.7532125031957192,0.5455290294044458,4/4,FALSE
Farewell / Kamikaze,Talos,38,1.2879581602399377,2.6571545377791868,2022-08-10,-1.6999090691364322,-0.494950553234311,G,-0.32336650306491554,minor,-0.3465699194586894,1.4791751250239087,-0.5536092993241988,-0.8792065556838415,-1.6334155782639104,-0.6768260362192563,0.4756579480844563,4/4,TRUE
I LIKE YOU,MY Q,5,-0.8287863605064519,-0.5639973348561698,2022-06-13,0.40867912405215057,-0.718676840813315,F,0.31676557804658123,major,-0.39114380370981927,0.6186886058184224,-0.5539118964807839,-0.1256027764642174,-1.0239366271820451,1.4466558386392572,0.28750582525602286,4/4,FALSE
Shadows of the Dawn // Summer Sessions,The Gray Havens,39,1.424522322868737,2.4536190862801175,2022-08-05,-0.08440611497041005,-1.461448115575608,F_sharp,-0.7144350621494955,major,-0.4500963603000233,1.775357079098261,-0.5532183240447843,-0.511736224399123,-0.8321425516667728,-1.059790155887384,0.17374555823988605,4/4,TRUE
Atlases,Wumbo,2,-1.5116071736504486,-0.673670680971519,2022-08-19,-1.0121849199733866,-0.17278469912054498,G,0.2734984183180746,major,-0.4874809083816161,-0.9585083589705202,2.211515003280601,2.583766916545704,-0.8875497290378515,-0.7188540698280979,0.5913395442598236,4/4,FALSE
Jungle,Deion Reverie,13,0.9465477536679393,-0.5092520562535913,2022-06-13,-0.09738204231310904,0.5073432151196268,D,-0.059880594461829945,major,0.5592864379029827,0.412920090356241,0.20895869408476236,-0.5567851266581954,-0.9216464535738997,1.998935841659536,0.5319039173929093,4/4,FALSE
Todo Lo Que Quieras Tú,Yorch,2,-1.23847884839285,-0.6741733504745477,2022-06-23,-1.2457516121419683,1.0979806143281972,C_sharp,1.0817067737595398,minor,1.1488120038050234,-0.8559857549938781,-0.5322595969584049,-0.2993628280349249,0.7363067769914541,0.7380948333942853,0.3062544816921739,4/4,FALSE
In My Feelings,Nija,49,1.6976506481263356,0.5342898320339572,2022-01-28,0.7071254529342271,-0.9468776541438989,F,-0.09621391449025551,major,-0.33794271605524495,-0.676717730159402,-0.5539198998946047,-0.4280739773465601,-1.4117868687795958,0.4497109857591475,-0.7687480194576652,4/4,TRUE
Bear's Tune,Katie Spencer,6,-1.1701967670784503,-0.6564885234134477,2022-05-06,0.3632633783527041,-1.1437567872134224,A,-0.8048523318385545,major,-0.35807285732994876,0.33497747086299035,2.2557892073954746,-0.5439140117270318,1.081536112918944,-2.393750312640685,-1.1722648160168356,4/4,FALSE
Chill litt,Sondre Justad,36,1.4928044041831368,1.769805773250915,2022-03-25,1.0899153095438465,-1.3988047550534868,G,-0.04823174376569357,minor,0.332103414945611,-0.32909364721950435,-0.5538869326410791,-0.6192100340743384,-0.7554249214606638,-1.4424447401197675,0.20967315774680376,4/4,TRUE
