id,popularity,artist_total_followers
36Vdx8JtR9dT3MSbYX4apg,22,1641
5gj2Ul170gSipbsNQbea37,10,1302
7o9tCJXiK0FdrgNkdvhrrT,27,8396
0CIHy5rV9yWHNaYa8U3KLk,43,429105
0CIHy5rV9yWHNaYa8U3KLk,43,429105
5slzK5PyXf1nxwlrlSj2La,50,32626
6Ioe82Sy5iFlONluEFl7Tv,6,760
2WLuBSiFLggbRFxzoUtWjR,18,2106
4NZvixzsSefsNiIqXn0NDe,68,863120
70OBjc6ZS5cTjpagscS2Q3,9,315
7t5JF3FCDzTM64OgEVtEY5,20,859
4mRFZ6ovRHoxsRBE3uymPY,27,6348
4VDB5C1VFBcsQPcQFbRjrn,0,105
2L4MBngvappicW4avjknRZ,0,107
4NZvixzsSefsNiIqXn0NDe,68,863120
2u6D56lYh7gzfulV5p6MMZ,4,729
0etNlRIxGz1zFGl3VMTTM1,11,2844
6wpQtolie7xQxFpNVTudyV,1,246
5kTV8J9hiWnrUrqzO00a53,15,2213
3ZtIhDSOuRkpDyqjx53X1R,62,269287
5cAtakaadWHJLxmGKrKcX7,46,201903
5Pb27ujIyYb33zBqVysBkj,70,1078543
2VSRhqonKsL7KRAIk8SMmt,58,114060
4oV5EVJ0XFWsJKoOvdRPvl,47,141050
3S9sb8w9r1iojdrAL1soiU,44,46571
5w3bs8jNvbb0QHf5Lo0sva,44,36489
7GkhznErka8OWEHJS05Dpd,53,177589
71NBOcJ9lMeXqnbnya1z0x,45,28446
3W02sTifN8tW1bapAkS1hu,43,10651
26VFTg2z8YR0cCuwLzESi2,83,18525361
12tZvy2xFpWSkuJ3FsfisZ,47,143947
09Z3wZ88af1pfyJxziESQF,45,39706
1Eie0tY91rpi7Y0jtIOXzI,50,55162
0Q6X1jqwOVQuclYp2P1bub,40,71244
4XPttwv3iZzydK67YRl8tL,45,14948
6wa2PiIWrIhhz6lRQEGQpO,48,18087
1nhSLEYdoBHG6cJ8NDwoF1,45,128757
2sphpXGg1u97VSzbm5gR2P,49,47210
6Z5uMO0V6jlOuZ7LUDrSsC,48,55644
5xrA0STCpXYDPnfiyU8A3t,28,19062
3x0LgZSPgNh91O6NBMtqTs,38,20406
0CDUUM6KNRvgBFYIbWxJwV,51,230046
5YkBrE0wF8cAlq3GCOw5Eu,47,308519
1fipysDjXSW7GaohKbEgbV,28,7395
5nGmm4hwsRfS0XrD5ZcSCb,27,2476
0EzsHuJxUDcfqSqvoPhKG4,49,112412
7gRGh8w4G9zaFJSaIYp8HH,47,29766
50Lr1puweM1hFsF1LpIZLM,54,172386
11wRdbnoYqRddKBrpHt4Ue,63,1698954
24SwsBq76FnNeXW9Do4wPI,44,42867
1IQ5G41H1DtIdspH3jVpas,13,177
2Qv00e3NugaTAxlf527EYl,27,3238
3h1CDf5DWhsGXMsefho0X6,29,4277
1IQ5G41H1DtIdspH3jVpas,13,177
